id,title,title_display,parent_id,change notes,weight,encyc_links,description,created,modified
198,Office of Strategic Services [198],Office of Strategic Services,88,,,,"The Office of Strategic Services (OSS) Far East Section was created in the summer of 1943 to conduct psychological warfare against the Japanese. Fifty-five Japanese Americans were recruited directly from the incarceration camps as well as cities outside the West Coast. Two-thirds were Issei, and the rest mostly Kibei. Japanese Americans in the OSS were stationed in Saipan, California, India, and North Burma.  Their duties mainly included setting up broadcasting stations and producing broadcasts aimed at rallying pro-democracy groups.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
199,Postwar occupation of Japan [199],Postwar occupation of Japan,296,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
200,Japanese Canadians [200],Japanese Canadians,0,,,,"During World War II, approximately 21,000 Japanese Canadians, citizens and non-citizens alike, were removed from their homes in western British Columbia and placed in camps in the interior of the country. Able-bodied men, both Issei and Nisei, were separated from their families and sent to work in forests and on railroads and highways. Families were subsequently banished to remote mining ghost towns, sent to work on sugar beet farms, or permitted to resettle east of the Cascade Mountains where the government severely restricted their movements. Land, buildings, and other properties were seized without compensation and without the owners' permission. Japanese Canadians were forbidden from returning to the West Coast until 1949, four years after the war ended. In September 1988, the Canadian government formally apologized for the mass removal and incarceration and awarded individual compensation to all survivors.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
202,Dance [202],Dance,247,,,,,,
203,Decision to incarcerate [203],Decision to incarcerate,48,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
204,Manzanar Free Press [204],Manzanar Free Press,74,,,,"The Manzanar Free Press was published from September 1942 to 1945. The newspaper was staffed mainly by camp inmates who wrote the articles, set the type, and printed the final copies.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
206,"Facilities, services and camp administration [206]","Facilities, services, and camp administration",61,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
207,Education [207],Education,61,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
208,Work and jobs [208],Work and jobs,61,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
209,Denson Tribune (Jerome) [209],Denson Tribune (Jerome),74,,,,"The Denson Tribune was published in the Jerome concentration camp, Arkansas, from October 1942 to June 1944. Until early 1943, the paper was known as the Denson Communique. The newspaper was staffed mainly by camp inmates who wrote the articles, set the type, and printed the final copies.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
210,Gila News-Courier [210],Gila News-Courier,74,,,,"The Gila News-Courier was published in the Gila River concentration camp, Arizona, from September 1942 to 1945. The newspaper was staffed mainly by camp inmates who wrote the articles, set the type, and printed the final copies.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
211,Granada Pioneer [211],Granada Pioneer,74,,,['http://encyclopedia.densho.org/Granada_Pioneer'],"The Granada Pioneer was published in the Granada concentration camp, Colorado, from October 1942 to September 1945. The newspaper was staffed mainly by camp inmates who wrote the articles, set the type, and printed the final copies.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
212,Poston Chronicle [212],Poston Chronicle,74,,,,"The Poston Chronicle was published in the Poston (Colorado River) concentration camp, Arizona, from May 1942 to September 1945. The newspaper was staffed mainly by camp inmates who wrote the articles, set the type, and printed the final copies. Poston consisted of three separate sections, designated Poston I, II and III. As a result, many of the Chronicle's issues contain pages contributed by the different sections.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
213,Rohwer Outpost [213],Rohwer Outpost,74,,,,"The Rohwer Outpost was published from October 1942 to November 1945. The newspaper was staffed mainly by camp inmates who wrote the articles, set the type, and printed the final copies.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
214,Topaz Times [214],Topaz Times,74,,,,"The Topaz Times was published in the Topaz concentration camp, Utah, from September 1942 to August 1945. The newspaper was staffed mainly by camp inmates who wrote the articles, set the type, and printed the final copies.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
215,Santa Anita Pacemaker [215],Santa Anita Pacemaker,193,,,,"The Santa Anita Pacemaker was a newspaper published at the Santa Anita Assembly Center, California. The paper was published from April through August of 1942, and provided information about activities and sports, living conditions, work leave, and the move to permanent camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
216,Tanforan Totalizer [216],Tanforan Totalizer,193,,,,"The Tanforan Totalizer was a newspaper published at the Tanforan Assembly Center, California. The paper was published from May through September of 1942, and provided information about activities and sports, living conditions, work leave, and the move to permanent incarceration camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
217,"Seattle, Washington hearings [217]","Seattle, Washington hearings",114,,,,"Hearings were held by the Commission on Wartime Relocation and Internment of Civilians (CWRIC) in Seattle, Washington, on September 9-11, 1981. Written testimonies were submitted by former camp inmates and others, and some individuals were chosen to testify in person before the Commission. The hearings were conducted in 20 cities across the nation, and in 1982 the CWRIC issued its report 'Personal Justice Denied.' Ultimately, the CWRIC recommended, among other things, $20,000 individual compensation to those incarcerated and a formal government apology.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
218,"Washington, D.C. hearings [218]","Washington, D.C. hearings",114,,,,"Hearings were held by the Commission on Wartime Relocation and Internment of Civilians (CWRIC) in Washington, D.C., in July of 1981. These hearings were conducted in 20 cities across the nation, and in 1982 the CWRIC issued its report 'Personal Justice Denied.' Ultimately, the CWRIC recommended, among other things, $20,000 individual compensation to those incarcerated and a formal government apology.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
219,H.R. 4110 [219],H.R. 4110,115,,,,"House bill introduced in Congress on October 6, 1983, as the Civil Liberties Act of 1983. The bill was sponsored by House Majority Leader Jim Wright (D-Texas), and asked for implementation of the recommendations of the Commission on Wartime Relocation and Internment of Civilians. These recommendations included disbursement of monetary restitutions to eligible Japanese Americans and Aleuts, as well as a congressional apology. Hearings were held, but the bill was not passed.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
220,S. 2116 [220],S. 2116,115,,,,"Senate version of House bill 4110, created to implement the recommendations of the Commission on Wartime Relocation and Internment of Civilians. The bill was introduced in November, 1983, by Sen. Spark Matsunaga of Hawaii, and was assigned to the Senate Governmental Affairs Committee. S. 2116 received only one hearing and died in committee.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
221,1800th Engineer General Service Battalion [221],1800th Engineer General Service Battalion,88,,,['http://encyclopedia.densho.org/1800th_Engineer_General_Service_Battalion/'],,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
222,Arbo-Gram [222],Arbo-Gram,193,,,,"The Arbo-Gram was the newspaper for the Marysville Assembly Center, California, which was open from May 8, 1942, to June 29, 1942. The newspaper provided information about activities and sports, living conditions, and the move to permanent camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
223,Fresno Grapevine [223],Fresno Grapevine,193,,,,"The Fresno Grapevine was the newspaper for the Fresno Assembly Center, California, which was open from May 6, 1942, to October 30, 1942. The newspaper provided information about activities and sports, living conditions, and the move to permanent camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
224,Mercedian [224],Mercedian,193,,,,"The Mercedian was the newspaper for the Merced Assembly Center, California, which was open from May 6, 1942, to September 15, 1942. The newspaper provided information about activities and sports, living conditions, and the move to permanent camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
225,Pinedale Logger [225],Pinedale Logger,193,,,,"The Pinedale Logger was the newspaper for the Pinedale Assembly Center, California, which was open from May 7, 1942, to July 23, 1942. The newspaper provided information about activities and sports, living conditions, and the move to permanent camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
226,Pomona Center News [226],Pomona Center News,193,,,,"The Pomona Center News was the newspaper for the Pomona Assembly Center, California, which was open from May 7, 1942, to August 24, 1942. The newspaper provided information about activities and sports, living conditions, and the move to permanent camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
227,Salinas Village Crier [227],Salinas Village Crier,193,,,,"The Salinas Village Crier was the newspaper for the Salinas Assembly Center, California, which was open from April 27, 1942, to July 4, 1942. The newspaper provided information about activities and sports, living conditions, and the move to permanent camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
228,Stockton El Joaquin [228],Stockton El Joaquin,193,,,,"The Stockton El Joaquin was the newspaper for the Stockton Assembly Center, California, which was open from May 10, 1942, to October 17, 1942. The newspaper provided information about activities and sports, living conditions, and the move to permanent camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
229,Tulare News [229],Tulare News,193,,,,"The Tulare News was the newspaper for the Tulare Assembly Center, California, which was open from April 20, 1942, to September 4, 1942. The newspaper provided information about activities and sports, living conditions, and the move to permanent camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
230,Turlock TAC [230],Turlock TAC,193,,,,"The Turlock TAC was the newspaper for the Turlock Assembly Center, California, which was open from April 30, 1942, to August 12, 1942. The newspaper provided information about activities and sports, living conditions, and the move to permanent camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
231,Walerga Wasp [231],Walerga Wasp,193,,,,"The Walerga Wasp was the newspaper for the Sacramento Assembly Center, California, which was open from May 6, 1942, to June 26, 1942. The newspaper provided information about activities and sports, living conditions, and the move to permanent camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
232,Puyallup Camp Harmony News-Letter [232],Puyallup Camp Harmony News-Letter,193,,,,"The Puyallup Camp Harmony News-Letter was the newspaper for the Puyallup Assembly Center, California, which was open from April 28, 1942, to September 12, 1942. The newspaper provided information about activities and sports, living conditions, and the move to permanent camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
233,Civil liberties [233],Civil liberties,120,,,,,,
234,Civil rights [234],Civil rights,120,,,,,,
235,Politics [235],Politics,120,,,,,,
236,Hawaiian statehood [236],Hawaiian statehood,235,,,,,,
237,Hawai'i constitutional convention [237],Constitutional convention,236,,,,,,
238,Lobbying [238],Lobbying,235,,,,,,
239,Running for office [239],Running for office,235,,,,,,
240,Essays [240],Essays,181,,,,,,
241,Fiction [241],Fiction,181,,,,,,
242,Adult [242],Adult,241,,,,,,
243,Children and young adult [243],Children and young adult,241,,,,,,
244,Nonfiction [244],Nonfiction,181,,,,,,
245,Plays [245],Plays,181,,,,,,
246,Poetry [246],Poetry,181,,,,,,
247,Performing arts [247],Performing arts,40,,,,,,
248,Odori [248],Odori,202,,,,,,
249,Film [249],Film,247,,,,,,
250,Comedies [250],Comedies,249,,,,,,
251,Documentaries [251],Documentaries,249,,,,,,
252,Dramas [252],Dramas,249,,,,,,
253,Romance [253],Romance,249,,,,,,
254,Taiko [254],Taiko,183,,,,,,
255,Tea ceremonies [255],Tea ceremonies,247,,,,,,
256,Theater [256],Theater,247,,,,,,
257,Kabuki [257],Kabuki,256,,,,,,
258,Architecture [258],Architecture,180,,,,,,
259,Bonsai [259],Bonsai,180,,,,,,
260,Calligraphy [260],Calligraphy,180,,,,,,
261,Carpentry and woodworking [261],Carpentry and woodworking,180,,,,,,
262,Drawing [262],Drawing,180,,,,,,
263,Ikebana [263],Ikebana,180,,,,,,
264,Needlecrafts [264],Needlecrafts,180,,,,,,
265,Painting [265],Painting,180,,,,,,
266,Ink wash painting (sumi-e) [266],Ink wash painting (sumi-e),265,,,,,,
267,Photography [267],Photography,180,,,,,,
268,Pottery [268],Pottery,180,,,,,,
269,Sculpture [269],Sculpture,180,,,,,,
270,Geographic communities [270],Geographic communities,0,,,,,,
271,California [271],California,270,,,,,,
272,Los Angeles [272],Los Angeles,271,,,,,,
273,San Francisco [273],San Francisco,271,,,,,,
274,San Jose [274],San Jose,271,,,,,,
275,Colorado [275],Colorado,270,,,,,,
276,Denver [276],Denver,275,,,,,,
277,Hawai'i [277],Hawai'i,270,,,,,,
278,Illinois [278],Illinois,270,,,,,,
279,Chicago [279],Chicago,278,,,,,,
280,New Jersey [280],New Jersey,270,,,,,,
281,Seabrook [281],Seabrook,280,,,,,,
282,New York [282],New York,270,,,,,,
283,New York [283],New York,282,,,,,,
284,Oregon [284],Oregon,270,,,,,,
285,Gresham/Troutdale [285],Gresham/Troutdale,284,,,,,,
286,Hood River [286],Hood River,284,,,,,,
287,Lake Labish [287],Lake Labish,284,,,,,,
288,Montavilla [288],Montavilla,284,,,,,,
289,Portland [289],Portland,284,,,,,,
290,Washington [290],Washington,270,,,,,,
291,Bainbridge Island [291],Bainbridge Island,290,,,,,,
292,Bellevue [292],Bellevue,290,,,,,,
293,Seattle [293],Seattle,290,,,,,,
294,Tacoma [294],Tacoma,290,,,,,,
295,White River Valley [295],White River Valley,290,,,,,,
296,Military service [296],Military service,0,,,,,,
297,Post-World War II service [297],Post-World War II service,296,,,,,,
298,Fujinkai [298],Fujinkai,16,,,,,,
299,Conventions and conferences [299],Conventions and conferences,15,,,,,,
300,Boys' Day [300],Boys' Day,25,,,,,,
301,Cherry blossom festivals [301],Cherry blossom festivals,25,,,,,,
302,Girls' Day [302],Girls' Day,25,,,,,,
303,Mochitsuki [303],Mochitsuki,25,,,,,,
304,New Year festival [304],New Year festival,25,,,,,,
305,Obon [305],Obon,25,,,,,,
306,Portland Rose Festival [306],Portland Rose Festival,25,,,,,,
307,Tanabata [307],Tanabata,25,,,,,,
308,Funerals [308],Funerals,15,,,,,,
309,Go [309],Go,179,,,,,,
310,Mushroom picking [310],Mushroom picking,179,,,,,,
311,Picnics [311],Picnics,179,,,,,,
312,Akido [312],Akido,24,,,,,,
313,Badminton [313],Badminton,24,,,,,,
314,Baseball [314],Baseball,24,,,,,,
315,Basketball [315],Basketball,24,,,,,,
316,Bowling [316],Bowling,24,,,,,,
317,Boxing [317],Boxing,24,,,,,,
318,Cycling [318],Cycling,24,,,,,,
319,Fishing [319],Fishing,24,,,,,,
320,Football [320],Football,24,,,,,,
321,Golf [321],Golf,24,,,,,,
322,Hanetsuki [322],Hanetsuki,24,,,,,,
323,Judo [323],Judo,24,,,,,,
324,Kendo [324],Kendo,24,,,,,,
325,Soccer [325],Soccer,24,,,,,,
326,Softball [326],Softball,24,,,,,,
327,Sumo [327],Sumo,24,,,,,,
328,Swimming [328],Swimming,24,,,,,,
329,Tennis [329],Tennis,24,,,,,,
330,Weight lifting [330],Weight lifting,24,,,,,,
331,Wrestling [331],Wrestling,24,,,,,,
332,Travel [332],Travel,179,,,,,,
333,Primary education [333],Primary education,31,,,,,,
334,Private schools [334],Private schools,31,,,,,,
335,Secondary education [335],Secondary education,31,,,,,,
336,Gosei [336],Gosei,42,,,,,,
337,Multiracial [337],Multiracial,42,,,,,,
338,Sansei [338],Sansei,42,,,,,,
339,Yonsei [339],Yonsei,42,,,,,,
340,Law and legislation [340],Law and legislation,1,,,,,,
341,Legal cases [341],Legal cases,340,,,,,,
342,Picture brides  [342],Picture brides,1,,,,,,
343,Chick sexing [343],Chick sexing,6,,,,,,
344,Dairy farming [344],Dairy farming,6,,,,,,
345,Farming [345],Farming,6,,,,,,
346,Flower growers [346],Flower growers,6,,,,,,
347,Migrant labor [347],Migrant labor,6,,,,,,
348,Plantations [348],Plantations,6,,,,,,
349,Strawberries [349],Strawberries,6,,,,,,
350,Arts [350],Arts,5,,,,,,
351,Banking [351],Banking,5,,,,,,
352,Barbering and hairdressing [352],Barbering and hairdressing,5,,,,,,
353,Bath houses [353],Bath houses,5,,,,,,
354,Carpentry [354],Carpentry ,5,,,,,,
355,Dentistry [355],Dentistry,5,,,,,,
356,Educators [356],Educators,5,,,,,,
357,Firefighting [357],Firefighting,5,,,,,,
358,Importing [358],Importing,5,,,,,,
359,Insurance [359],Insurance,5,,,,,,
360,Journalism [360],Journalism,5,,,,,,
361,Labor brokering [361],Labor brokering,5,,,,,,
362,Law [362],Law  ,5,,,,,,
363,Law enforcement [363],Law enforcement,5,,,,,,
364,Medicine [364],Medicine,5,,,,,,
365,Mining [365],Mining,5,,,,,,
366,Photography [366],Photography,5,,,,,,
367,Real estate [367],Real estate,5,,,,,,
368,Retail [368],Retail,5,,,,,,
369,Bakeries [369],Bakeries,8,,,,,,
370,General stores [370],General stores,8,,,,,,
371,Grocery stores [371],Grocery stores,8,,,,,,
372,Hardware stores [372],Hardware stores,8,,,,,,
373,Laundromats [373],Laundromats,8,,,,,,
374,Restaurants [374],Restaurants,8,,,,,,
375,Education [375],Education,108,,,,,,
376,Government and politics [376],Government and politics,108,,,,,,
377,Imperialist expansion [377],Imperialist expansion,108,,,,,,
378,Military [378],Military,108,,,,,,
379,Okinawa [379],Okinawa,108,,,,,,
380,United States civilians [380],United States civilians,108,,,,,,
381,Incarceration during World War II [381],Incarceration during World War II,200,,,,,,
382,Life in Canada [382],Life in Canada,200,,,,,,
383,Redress and reparations [383],Redress and reparations,200,,,,,,
384,Deportation and internment during World War II [384],Deportantion and internment during World War II,166,,,,,,
385,Repatriation to Japan [385],Repatriation to Japan,166,,,,,,
386,Return to Latin America after World War II [386],Return to Latin America after World War II,166,,,,,,
387,Journalism and media [387],Journalism and media,0,,,,,,
388,Advertising and marketing [388],Advertising and marketing,387,,,,,,
389,Pacific Citizen [389],Pacific Citizen,26,,,,,,
390,Rocky Shimpo [390],Rocky Shimpo,26,,,,,,
391,Mass media [391],Mass media,387,,,,,,
392,Commission on Wartime Relocation and Internment of Civilians (CWRIC) [392],Commission on Wartime Relocation and Internment of Civilians (CWRIC),110,,,,,,
393,Days of remembrance [393],Days of remembrance,118,,,,,,
394,Exhibitions [394],Exhibitions,118,,,,,,
395,Buddhism [395],Buddhism,29,,,,,,
396,Christianity [396],Christianity,29,,,,,,
397,Religious organizations [397],Religious organizations,29,,,,,,
398,Shintoism [398],Shintoism,29,,,,,,
399,World War II [399],World War II,0,,,,,,
400,Japanese American Citizens League activities [400],Japanese American Citizens League activities,399,,,,,,
401,Administration [401],Administration,399,,,,,,
402,Wartime Civil Control Administration (WCCA) [402],Wartime Civil Control Administration (WCCA),401,,,,,,
403,War Relocation Authority (WRA) [403],War Reloaction Authority (WRA),401,,,,,,
404,"Conflicts, intimidation, and violence [404]","Conflicts, intimidation, and violence",61,,,,,,
405,Food [405],Food,61,,,,,,
406,Funerals [406],Funerals ,61,,,,,,
407,Holidays and festivals [407],Holidays and festivals,61,,,,,,
408,Impacts of incarceration [408],Impacts of incarceration,61,,,,,,
409,Medical care and health issues [409],Medical care and health issues,61,,,,,,
410,Religion [410],Religion,61,,,,,,
411,Sports [411],Sports,61,,,,,,
412,Weddings   [412],Weddings,61,,,,,,
413,Citizen isolation centers [413],Citizen isolation centers,399,,,,,,
414,Manzanar riot/uprising [414],Manzanar riot/uprising,162,,,,,,
415,Poston strike [415],Poston strike,162,,,,,,
416,Funerals [416],Funerals ,65,,,,,,
417,Newell Star [417],Newell Star,74,,,,,,
418,Immigration detention centers [418],Immigration detention centers,399,,,,,,
419,Temporary agricultural work leave [419],Temporary agricultural work leave,103,,,,,,
420,Permanent agricultural work leave [420],Permanent agricultural work leave,103,,,,,,
421,100th Infantry Battalion [421],100th Infantry Battalion,88,,,,,,
422,Medals and awards [422],Medals and awards,88,,,,,,
423,Varsity Victory Volunteers [423],Varsity Victory Volunteers,88,,,['http://en.wikipedia.org/wiki/Varsity_Victory_Volunteers'],,,
424,1399th Engineer Construction Battalion [424],1399th Engineer Construction Battalion,88,,,['http://encyclopedia.densho.org/1399th_Engineer_Construction_Battalion/'],,,
425,Martial law in Hawai'i [425],Martial law in Hawai'i,48,,,,,,
426,Propaganda [426],Propaganda,399,,,,,,
427,Media propaganda [427],Media propaganda,426,,,,,,
428,Fair Play Committee [428],Fair Play Committee,95,,,,,,
429,Hoshidan [429],Hoshidan,86,,,,,,
430,No no boys [430],No no boys,86,,,,,,
431,Stockade [431],Stockade,86,,,,,,
432,U.S. Army internment camps [432],U.S. Army internment camps,399,,,,,,
433,U.S. federal prisons [433],U.S. federal prisons,399,,,,,,
434,Karate [434],Karate,24,,,,,,
